99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
99,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,99
99,5,2,2,2,2,2,2,2,2,2,2,2,2,2,6,99
99,5,2,2,2,2,2,2,79,2,2,2,2,2,2,6,99
99,5,2,14,13,2,2,2,2,2,2,2,14,13,2,6,99
99,5,2,12,11,2,2,2,2,2,2,2,12,11,2,6,99
99,5,2,2,2,2,2,2,2,2,2,2,2,2,2,6,99
99,5,2,2,2,2,2,2,2,2,2,2,2,2,2,6,99
99,5,79,2,2,2,2,2,2,2,2,2,2,2,79,6,99
99,5,2,2,2,2,2,2,89,2,2,2,2,2,2,6,99
99,5,2,2,2,2,2,2,2,2,2,2,2,2,2,6,99
99,5,2,14,13,2,2,2,2,2,2,2,14,13,2,6,99
99,5,2,12,11,2,2,2,2,2,2,2,12,11,2,6,99
99,5,2,2,2,2,2,15,15,15,2,2,2,2,2,6,99
99,7,9,9,9,9,9,9,10,9,9,9,9,9,9,8,99
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,
